pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numtoday,percentoday
47,Saskatchewan,Saskatchewan,30-03-2020,175,0,2,175,9372,41,0.306
46,Manitoba,Manitoba,30-03-2020,83,13,1,96,8326,24,0.333
35,Ontario,Ontario,30-03-2020,1706,0,33,1706,54112,351,0.259
24,Quebec,Québec,30-03-2020,3430,0,25,3430,59715,590,0.208
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,30-03-2020,148,0,1,148,2332,13,0.096
13,New Brunswick,Nouveau-Brunswick,30-03-2020,68,0,0,68,3267,2,0.030
12,Nova Scotia,Nouvelle-Écosse,30-03-2020,127,0,0,127,5492,5,0.041
11,Prince Edward Island,Île-du-Prince-Édouard,30-03-2020,18,0,0,18,477,7,0.636
61,Northwest Territories,Territoires du Nord-Ouest,30-03-2020,1,0,0,1,740,0,0.000
62,Nunavut,Nunavut,30-03-2020,0,0,0,0,158,0,0.000
60,Yukon,Yukon,30-03-2020,5,0,0,5,688,1,0.250
99,Repatriated travellers,Voyageurs rapatriés,30-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,30-03-2020,7424,13,89,7437,225705,1179,0.188
59,British Columbia,Colombie-Britannique,31-03-2020,970,0,19,970,36024,10,0.010
48,Alberta,Alberta,31-03-2020,754,0,9,754,48692,64,0.093
47,Saskatchewan,Saskatchewan,31-03-2020,184,0,2,184,9372,9,0.051
46,Manitoba,Manitoba,31-03-2020,91,12,1,103,8629,7,0.073
35,Ontario,Ontario,31-03-2020,1966,0,33,1966,55909,260,0.152
24,Quebec,Québec,31-03-2020,4162,0,31,4162,67540,732,0.213
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,31-03-2020,152,0,1,152,2500,4,0.027
13,New Brunswick,Nouveau-Brunswick,31-03-2020,70,0,0,70,3630,2,0.029
12,Nova Scotia,Nouvelle-Écosse,31-03-2020,147,0,0,147,6614,20,0.157
11,Prince Edward Island,Île-du-Prince-Édouard,31-03-2020,21,0,0,21,551,3,0.167
61,Northwest Territories,Territoires du Nord-Ouest,31-03-2020,1,0,0,1,808,0,0.000
62,Nunavut,Nunavut,31-03-2020,0,0,0,0,167,0,0.000
60,Yukon,Yukon,31-03-2020,5,0,0,5,702,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,31-03-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,31-03-2020,8536,12,96,8548,241138,1111,0.149
59,British Columbia,Colombie-Britannique,01-04-2020,1066,0,25,1066,36364,96,0.099
48,Alberta,Alberta,01-04-2020,754,0,9,754,53141,0,0.000
47,Saskatchewan,Saskatchewan,01-04-2020,193,0,3,193,10202,9,0.049
46,Manitoba,Manitoba,01-04-2020,109,18,1,127,9811,24,0.233
35,Ontario,Ontario,01-04-2020,2392,0,37,2392,61009,426,0.217
24,Quebec,Québec,01-04-2020,4611,0,33,4611,69711,449,0.108
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,01-04-2020,175,0,1,175,2762,23,0.151
13,New Brunswick,Nouveau-Brunswick,01-04-2020,81,0,0,81,4121,11,0.157
12,Nova Scotia,Nouvelle-Écosse,01-04-2020,173,0,0,173,7405,26,0.177
11,Prince Edward Island,Île-du-Prince-Édouard,01-04-2020,21,0,0,21,551,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,01-04-2020,2,0,0,2,951,1,1.000
62,Nunavut,Nunavut,01-04-2020,0,0,0,0,183,0,0.000
60,Yukon,Yukon,01-04-2020,5,0,0,5,722,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,01-04-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,01-04-2020,9595,18,109,9613,256933,1065,0.125
59,British Columbia,Colombie-Britannique,02-04-2020,1121,0,31,1121,36966,55,0.052
48,Alberta,Alberta,02-04-2020,968,0,13,968,57096,214,0.284
47,Saskatchewan,Saskatchewan,02-04-2020,206,0,3,206,11034,13,0.067
46,Manitoba,Manitoba,02-04-2020,152,15,1,167,11098,40,0.315
35,Ontario,Ontario,02-04-2020,2793,0,53,2793,64785,401,0.168
24,Quebec,Québec,02-04-2020,5518,0,36,5518,74542,907,0.197
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,02-04-2020,183,0,1,183,2904,8,0.046
13,New Brunswick,Nouveau-Brunswick,02-04-2020,91,0,0,91,4625,10,0.123
12,Nova Scotia,Nouvelle-Écosse,02-04-2020,193,0,0,193,8059,20,0.116
11,Prince Edward Island,Île-du-Prince-Édouard,02-04-2020,22,0,0,22,653,1,0.048
60,Yukon,Yukon,02-04-2020,6,0,0,6,742,1,0.200
61,Northwest Territories,Territoires du Nord-Ouest,02-04-2020,2,0,0,2,969,0,0.000
62,Nunavut,Nunavut,02-04-2020,0,0,0,0,193,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,02-04-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,02-04-2020,11268,15,138,11283,273666,1670,0.174
59,British Columbia,Colombie-Britannique,03-04-2020,1174,0,35,1174,39926,53,0.047
48,Alberta,Alberta,03-04-2020,1075,0,18,1075,60508,107,0.111
47,Saskatchewan,Saskatchewan,03-04-2020,220,0,3,220,11720,14,0.068
46,Manitoba,Manitoba,03-04-2020,164,18,2,182,11650,15,0.090
35,Ontario,Ontario,03-04-2020,3255,0,67,3255,67998,462,0.165
24,Quebec,Québec,03-04-2020,6101,0,61,6101,83570,583,0.106
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,03-04-2020,183,0,1,183,3136,0,0.000
13,New Brunswick,Nouveau-Brunswick,03-04-2020,95,0,0,95,5036,4,0.044
12,Nova Scotia,Nouvelle-Écosse,03-04-2020,207,0,0,207,8799,14,0.073
11,Prince Edward Island,Île-du-Prince-Édouard,03-04-2020,22,0,0,22,653,0,0.000
60,Yukon,Yukon,03-04-2020,6,0,0,6,753,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,03-04-2020,4,0,0,4,1109,2,1.000
62,Nunavut,Nunavut,03-04-2020,0,0,0,0,207,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,03-04-2020,13,0,0,13,0,0,0.000
1,Canada,Canada,03-04-2020,12519,18,187,12537,295065,1254,0.111
59,British Columbia,Colombie-Britannique,04-04-2020,1203,0,38,1203,40771,29,0.025
48,Alberta,Alberta,04-04-2020,1075,0,18,1075,62520,0,0.000
47,Saskatchewan,Saskatchewan,04-04-2020,231,0,3,231,12244,11,0.050
46,Manitoba,Manitoba,04-04-2020,172,22,2,194,12191,12,0.066
35,Ontario,Ontario,04-04-2020,3630,0,94,3630,72674,375,0.115
24,Quebec,Québec,04-04-2020,6997,0,75,6997,90227,896,0.147
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,04-04-2020,195,0,1,195,5297,12,0.066
13,New Brunswick,Nouveau-Brunswick,04-04-2020,98,0,0,98,3345,3,0.032
12,Nova Scotia,Nouvelle-Écosse,04-04-2020,236,0,0,236,9722,29,0.140
11,Prince Edward Island,Île-du-Prince-Édouard,04-04-2020,22,0,0,22,839,0,0.000
60,Yukon,Yukon,04-04-2020,6,0,0,6,765,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,04-04-2020,4,0,0,4,1169,0,0.000
62,Nunavut,Nunavut,04-04-2020,0,0,0,0,207,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,04-04-2020,13,0,0,13,,0,0.000
1,Canada,Canada,04-04-2020,13882,22,231,13904,311971,1367,0.109
59,British Columbia,Colombie-Britannique,05-04-2020,1203,0,38,1203,41556,0,0.000
48,Alberta,Alberta,05-04-2020,1181,0,20,1181,62520,106,0.099
47,Saskatchewan,Saskatchewan,05-04-2020,231,0,3,231,13055,0,0.000
46,Manitoba,Manitoba,05-04-2020,172,22,2,194,12191,0,0.000
35,Ontario,Ontario,05-04-2020,4038,0,119,4038,76027,408,0.112
24,Quebec,Québec,05-04-2020,6997,0,75,6997,95955,0,0.000
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,05-04-2020,203,0,1,203,5358,8,0.041
13,New Brunswick,Nouveau-Brunswick,05-04-2020,98,0,0,98,3556,0,0.000
12,Nova Scotia,Nouvelle-Écosse,05-04-2020,236,0,0,236,10084,0,0.000
11,Prince Edward Island,Île-du-Prince-Édouard,05-04-2020,22,0,0,22,839,0,0.000
60,Yukon,Yukon,05-04-2020,6,0,0,6,765,0,0.000
61,Northwest Territories,Territoires du Nord-Ouest,05-04-2020,4,0,0,4,1169,0,0.000
62,Nunavut,Nunavut,05-04-2020,0,0,0,0,222,0,0.000
99,Repatriated travellers,Voyageurs rapatriés,05-04-2020,13,0,0,13,,0,0.000
1,Canada,Canada,05-04-2020,14404,22,258,14426,323297,522,0.038
